numero_onda_cm1,irf_w_m2_cm,erf_w_m2_cm
1348.3898434400467,-3.48777398797812e-05,-3.5216250122288274e-05
1354.7181615649893,-4.5720718731975265e-05,-4.712940471605557e-05
1361.0464796899319,-1.8903150324569272e-05,-2.2980395189737312e-05
1367.374797814875,-1.2882971204652504e-05,-1.3441801331199696e-05
1373.7031159398175,-1.845080295078665e-05,-2.2812845168884766e-05
1380.0314340647603,-3.372251037801209e-05,-3.4658684716373904e-05
1386.3597521897032,-1.29319904533853e-05,-1.4431351892008643e-05
1392.6880703146458,-4.567192700920612e-06,-1.838086472941373e-05
1399.0163884395888,-1.6482180677169293e-06,-2.8982817947216946e-06
1405.3447065645314,-7.365980660799942e-07,-3.8131266557428163e-06
1411.6730246894742,-3.150968947103375e-07,-6.670473127493038e-07
1418.001342814417,-3.5207656615105595e-08,-7.761438697997941e-06
1424.3296609393597,-2.16597268107516e-08,-1.8133264398865076e-06
1430.6579790643027,-6.3207718718638775e-09,-3.2232293360013066e-06
1436.9862971892453,-3.3732147709949164e-09,-1.1281454345807499e-05
1443.3146153141881,-6.58281579533676e-09,-1.1640889535574151e-07
1449.642933439131,-3.2906594463254314e-09,-1.1059947068699884e-05
1455.9712515640736,-1.4071811013478753e-09,-1.1945227149392098e-05
1462.2995696890166,-2.357254326720767e-09,-4.695205441397793e-06
1468.6278878139592,-2.768416827089715e-09,-3.5415096114283995e-07
1474.956205938902,-1.5473209547365196e-09,-9.737389561966744e-06
1481.2845240638449,-3.970368887781545e-09,-9.63040654872684e-07
1487.6128421887875,-1.7046181550550799e-09,-1.4872462479718168e-05
1493.9411603137305,-1.903391165187574e-09,-1.022846052436136e-05
1500.269478438673,-1.574733053960072e-09,-1.7682249450149186e-06
1506.597796563616,-5.821989346432292e-10,-1.1546585154344398e-05
1512.9261146885588,-1.6524895005431983e-09,-1.691087001770191e-06
1519.2544328135014,-6.542076609998842e-10,-1.10473224817258e-05
1525.5827509384444,-8.695102496717735e-10,-6.62918372602839e-06
1531.911069063387,-1.3823974198558623e-09,-3.973445146708743e-06
1538.2393871883298,-7.193220589053057e-10,-1.5206778046604313e-05
1544.5677053132727,-1.0416315303453721e-09,-8.747922800452378e-06
1550.8960234382153,-1.6534267209928298e-09,-2.6122263229920074e-06
1557.2243415631583,-3.939208813586164e-10,-1.3101024213893669e-05
1563.552659688101,-1.2715966986441445e-09,-2.5527900797092097e-06
1569.8809778130437,-1.3899245914529298e-09,-8.900675833752952e-06
1576.2092959379866,-1.1250135661461858e-09,-4.165058186351108e-06
1582.5376140629292,-3.881736746829355e-09,-4.5994846473702375e-08
1588.865932187872,-4.109941531913197e-09,-2.7954176943488755e-06
