mjd,year,mag,magerr,filter
59682.4931481001,2022.2806,20.486818706010933,0.4926211328860232,ZTF_r
59682.49557870021,2022.2806,19.929965195275667,0.28157911178572326,ZTF_r
59682.49800929986,2022.2806,20.378547367477488,0.4331621260329591,ZTF_r
59682.50043979986,2022.2806,19.980465194980955,0.29489049884338087,ZTF_r
59682.50287039997,2022.2806,20.501935067119312,0.40628568747819793,ZTF_r
59683.4926041998,2022.2833,20.23609435279166,0.3686045439073014,ZTF_r
59683.49504629988,2022.2834,20.627790640451856,0.6128075201777551,ZTF_r
59683.4974769,2022.2834,20.060058196502514,0.3455577410770399,ZTF_r
59683.49990739999,2022.2834,20.272955524918977,0.3555706331721061,ZTF_r
59683.50234950008,2022.2834,19.94129612484612,0.22730139670324323,ZTF_r
59684.4932407001,2022.2861,20.521045646607305,0.5939160933143047,ZTF_r
59684.49571759999,2022.2861,20.31370314698364,0.3789851460081528,ZTF_r
59684.498205999844,2022.2861,20.010708578224946,0.3991468928019758,ZTF_r
59684.500671300106,2022.2861,20.597045421657224,0.7554245269506822,ZTF_r
59684.50314809987,2022.2861,20.35459862189719,0.47596561501224627,ZTF_r
59685.49157410022,2022.2888,20.1636332993616,0.6978952046349352,ZTF_r
59685.494039400015,2022.2888,19.898473756373335,0.5546162461836445,ZTF_r
59685.49650460016,2022.2888,21.668035074104704,2.671797628309108,ZTF_r
59685.498969899956,2022.2888,20.360636800292937,0.578896025413167,ZTF_r
59685.50144679984,2022.2888,20.43405128349764,0.7078117031808203,ZTF_r
59686.48938659998,2022.2916,20.748618897803517,1.0355297074712524,ZTF_r
59686.49181709997,2022.2916,20.05566686338463,0.4514125315752291,ZTF_r
59686.4942361,2022.2916,20.61839074623958,0.8001411147304857,ZTF_r
59686.49666670011,2022.2916,20.86533464888856,1.503724107201865,ZTF_r
59686.49907410005,2022.2916,20.50146942317736,0.8419186357133975,ZTF_r
59687.48811340006,2022.2943,20.41320483055271,0.671152671435866,ZTF_r
59687.49057869986,2022.2943,20.30784702731029,0.6810632247311152,ZTF_r
59687.49304400012,2022.2943,19.907394024856504,0.2942863759969577,ZTF_r
59687.49552079989,2022.2943,20.383641236020637,0.6431053319773529,ZTF_r
59687.49798610015,2022.2943,20.5363363579281,0.7324376783616073,ZTF_r
59689.45653939992,2022.2997,20.169099093035797,0.624564012215012,ZTF_r
59689.4871991002,2022.2998,19.99067065833826,0.5327596249185899,ZTF_r
59689.4896296002,2022.2998,20.72579551769465,1.0319657487752796,ZTF_r
59689.49204860022,2022.2998,20.208129615298525,0.47666253212523485,ZTF_r
59689.49447919987,2022.2998,20.470068001439774,0.7943975096948908,ZTF_r
59689.49689809978,2022.2998,20.586645833523647,0.7336318120961032,ZTF_r
59690.48531250004,2022.3025,20.19960955009267,0.4586890091424885,ZTF_r
59690.48776620021,2022.3025,20.39057964718036,0.5210195519856183,ZTF_r
59690.49268520018,2022.3025,20.244182021673446,0.3674051627231549,ZTF_r
59707.42398149986,2022.3489,20.05969088529598,0.37466562250786384,ZTF_r
59707.46502309991,2022.3490,20.230531262454296,0.48838830722541426,ZTF_r
59710.40737270005,2022.3570,20.492570425529323,0.6155877153595075,ZTF_r
59718.43559029978,2022.3790,20.19200769828389,0.4022544718370819,ZTF_r
59718.45076389983,2022.3791,20.563996789925653,0.5587529654569473,ZTF_r
59731.449213000014,2022.4146,20.337898766567438,0.30942683025065926,ZTF_r
